SSD capacity:		4GB
Page size:		4KB
Pages / Block:		128 pages
Block size:		512KB
OP ratio:		25%
Physical Blocks:	8K (8192)
User Blocks:		6553
OP Blocks:		1639
PPNs:			1M (1048576)
LPNs:			838784
Total runs:		x10
Actual capacity:	3435659264 Bytes

Workload : Multi Hot/Cold
FTL : Multi-Stream policy
blk to erase 4503 4172
blk to erase 373 4503
blk to erase 3514 373
blk to erase 3259 3514
blk to erase 3079 3259
blk to erase 2909 3079
blk to erase 1525 2909
blk to erase 2685 1525
blk to erase 2906 2685
blk to erase 295 2906
blk to erase 2904 295
blk to erase 2591 2904
blk to erase 2501 2591
blk to erase 2902 2501
blk to erase 261 2902
blk to erase 2449 261
blk to erase 2897 2449
blk to erase 234 2897
blk to erase 2332 234
blk to erase 3231 2332
blk to erase 2123 3231
blk to erase 203 2123
blk to erase 1914 203
blk to erase 2894 1914
blk to erase 1863 2894
blk to erase 2888 1863
blk to erase 156 2888
blk to erase 1792 156
blk to erase 3583 1792
blk to erase 1723 3583
blk to erase 98 1723
blk to erase 1451 98
blk to erase 4331 1451
blk to erase 1414 4331
blk to erase 4362 1414
blk to erase 71 4362
blk to erase 1241 71
blk to erase 4217 1241
blk to erase 1140 4217
blk to erase 57 1140
blk to erase 3362 57
blk to erase 2883 3362
blk to erase 866 2883
blk to erase 898 866
blk to erase 2881 898
blk to erase 828 2881
blk to erase 2880 828
blk to erase 697 2880
blk to erase 790 697
blk to erase 760 790
blk to erase 3759 760
blk to erase 502 3759
blk to erase 680 502
blk to erase 4426 680
blk to erase 31 4426
blk to erase 253 31
blk to erase 3421 253
blk to erase 298 3421
blk to erase 106 298
blk to erase 3312 106
blk to erase 78 3312
blk to erase 2875 78
blk to erase 3551 2875
blk to erase 172 3551
blk to erase 39 172
blk to erase 2871 39
blk to erase 1363 2871
blk to erase 4610 1363
blk to erase 4311 4610
blk to erase 4330 4311
blk to erase 804 4330
blk to erase 3821 804
blk to erase 2870 3821
blk to erase 4020 2870
blk to erase 2868 4020
blk to erase 2961 2868
blk to erase 349 2961
blk to erase 3903 349
blk to erase 3535 3903
blk to erase 7 3535
blk to erase 3893 7
blk to erase 2867 3893
blk to erase 3862 2867
blk to erase 1895 3862
blk to erase 3480 1895
blk to erase 2865 3480
blk to erase 3892 2865
blk to erase 3470 3892
blk to erase 1637 3470
blk to erase 978 1637
blk to erase 3620 978
blk to erase 1663 3620
blk to erase 278 1663
blk to erase 3409 278
blk to erase 3130 3409
blk to erase 4599 3130
blk to erase 3097 4599
blk to erase 1501 3097
blk to erase 2999 1501
blk to erase 3070 2999
blk to erase 1400 3070
blk to erase 2864 1400
blk to erase 1302 2864
blk to erase 2860 1302
blk to erase 774 2860
blk to erase 2312 774
blk to erase 2859 2312
blk to erase 682 2859
blk to erase 3012 682
blk to erase 4141 3012
blk to erase 2716 4141
blk to erase 2857 2716
blk to erase 1561 2857
blk to erase 2653 1561
blk to erase 2856 2653
blk to erase 2623 2856
blk to erase 3270 2623
blk to erase 1871 3270
blk to erase 2581 1871
blk to erase 4376 2581
blk to erase 1436 4376
blk to erase 2572 1436
blk to erase 4027 2572
blk to erase 2522 4027
blk to erase 3679 2522
blk to erase 2085 3679
blk to erase 2420 2085
blk to erase 3587 2420
blk to erase 2390 3587
blk to erase 1299 2390
blk to erase 2854 1299
blk to erase 2381 2854
blk to erase 2361 2381
blk to erase 2852 2361
blk to erase 1630 2852
blk to erase 2842 1630
blk to erase 739 2842
blk to erase 1384 739
blk to erase 2749 1384
blk to erase 2839 2749
blk to erase 3571 2839
blk to erase 2838 3571
blk to erase 1320 2838
blk to erase 2283 1320
blk to erase 2829 2283
blk to erase 1303 2829
blk to erase 2233 1303
blk to erase 2826 2233
blk to erase 2072 2826
blk to erase 3590 2072
blk to erase 1263 3590
blk to erase 1972 1263
blk to erase 2825 1972
blk to erase 1802 2825
blk to erase 1230 1802
blk to erase 1733 1230
blk to erase 2819 1733
blk to erase 1361 2819
blk to erase 691 1361
blk to erase 4358 691
blk to erase 1322 4358
blk to erase 2815 1322
blk to erase 1165 2815
blk to erase 2001 1165
blk to erase 2813 2001
blk to erase 1089 2813
blk to erase 472 1089
blk to erase 2939 472
blk to erase 4900 2939
blk to erase 1058 4900
blk to erase 1687 1058
blk to erase 3072 1687
blk to erase 1028 3072
blk to erase 510 1028
blk to erase 4546 510
blk to erase 1135 4546
blk to erase 4391 1135
blk to erase 4732 4391
blk to erase 220 4732
blk to erase 3940 220
blk to erase 3350 3940
blk to erase 226 3350
blk to erase 206 226
blk to erase 3688 206
blk to erase 508 3688
blk to erase 3258 508
blk to erase 5358 3258
blk to erase 364 5358
blk to erase 4791 364
blk to erase 2846 4791
blk to erase 4751 2846
blk to erase 2812 4751
blk to erase 1131 2812
blk to erase 4719 1131
blk to erase 2809 4719
blk to erase 1063 2809
blk to erase 4400 1063
blk to erase 2808 4400
blk to erase 4239 2808
blk to erase 920 4239
blk to erase 2803 920
blk to erase 2470 2803
blk to erase 2799 2470
blk to erase 4180 2799
blk to erase 1000 4180
blk to erase 4735 1000
blk to erase 3912 4735
blk to erase 3233 3912
blk to erase 975 3233
blk to erase 1960 975
blk to erase 2798 1960
blk to erase 3540 2798
blk to erase 134 3540
blk to erase 2796 134
blk to erase 3509 2796
blk to erase 941 3509
blk to erase 2793 941
blk to erase 3427 2793
blk to erase 3406 3427
blk to erase 2790 3406
blk to erase 708 2790
blk to erase 3298 708
blk to erase 2789 3298
blk to erase 3229 2789
blk to erase 926 3229
blk to erase 3191 926
blk to erase 3016 3191
blk to erase 2932 3016
blk to erase 923 2932
blk to erase 3173 923
blk to erase 2665 3173
blk to erase 2602 2665
blk to erase 915 2602
blk to erase 3426 915
blk to erase 2439 3426
blk to erase 3103 2439
blk to erase 883 3103
blk to erase 2263 883
blk to erase 2788 2263
blk to erase 2142 2788
blk to erase 2786 2142
blk to erase 872 2786
blk to erase 2101 872
blk to erase 2782 2101
blk to erase 1982 2782
blk to erase 834 1982
blk to erase 1883 834
blk to erase 2778 1883
blk to erase 1714 2778
blk to erase 831 1714
blk to erase 3768 831
blk to erase 1405 3768
blk to erase 784 1405
blk to erase 2775 784
blk to erase 1312 2775
blk to erase 1169 1312
blk to erase 2773 1169
blk to erase 721 2773
blk to erase 5988 721
blk to erase 4221 5988
blk to erase 660 4221
blk to erase 4938 660
blk to erase 2772 4938
blk to erase 4810 2772
blk to erase 653 4810
blk to erase 2770 653
blk to erase 4689 2770
blk to erase 2767 4689
blk to erase 4562 2767
blk to erase 586 4562
blk to erase 4320 586
blk to erase 2766 4320
blk to erase 4291 2766
blk to erase 778 4291
blk to erase 4086 778
blk to erase 4271 4086
blk to erase 4219 4271
blk to erase 2765 4219
blk to erase 576 2765
blk to erase 3998 576
blk to erase 3597 3998
blk to erase 3852 3597
blk to erase 930 3852
blk to erase 3192 930
blk to erase 3741 3192
blk to erase 4908 3741
blk to erase 2762 4908
blk to erase 505 2762
blk to erase 3672 505
blk to erase 2760 3672
blk to erase 3644 2760
blk to erase 455 3644
blk to erase 2756 455
blk to erase 3561 2756
blk to erase 427 3561
blk to erase 2755 427
blk to erase 3348 2755
blk to erase 2971 3348
blk to erase 420 2971
blk to erase 2752 420
blk to erase 3308 2752
blk to erase 4048 3308
blk to erase 3248 4048
blk to erase 1118 3248
blk to erase 3456 1118
blk to erase 1513 3456
blk to erase 410 1513
blk to erase 2750 410
blk to erase 3120 2750
blk to erase 3050 3120
blk to erase 2929 3050
blk to erase 1512 2929
blk to erase 2981 1512
blk to erase 3055 2981
blk to erase 583 3055
blk to erase 2884 583
blk to erase 2747 2884
blk to erase 2769 2747
blk to erase 2706 2769
blk to erase 1188 2706
blk to erase 2989 1188
blk to erase 2561 2989
blk to erase 2491 2561
blk to erase 2746 2491
blk to erase 121 2746
blk to erase 2460 121
blk to erase 4392 2460
blk to erase 2430 4392
blk to erase 1290 2430
blk to erase 3991 1290
blk to erase 2372 3991
blk to erase 1223 2372
blk to erase 2743 1223
blk to erase 2352 2743
blk to erase 1893 2352
blk to erase 3033 1893
blk to erase 1280 3033
blk to erase 1603 1280
blk to erase 4351 1603
blk to erase 1573 4351
blk to erase 1020 1573
blk to erase 2742 1020
blk to erase 91 2742
blk to erase 5796 91
blk to erase 2739 5796
blk to erase 5266 2739
blk to erase 1112 5266
blk to erase 5169 1112
blk to erase 3659 5169
blk to erase 4699 3659
blk to erase 4679 4699
blk to erase 2736 4679
blk to erase 849 2736
blk to erase 4632 849
blk to erase 4325 4632
blk to erase 4463 4325
blk to erase 305 4463
blk to erase 3352 305
blk to erase 4340 3352
blk to erase 2735 4340
blk to erase 291 2735
blk to erase 4192 291
blk to erase 3280 4192
blk to erase 3074 3280
blk to erase 268 3074
blk to erase 4081 268
blk to erase 3401 4081
blk to erase 4070 3401
blk to erase 3802 4070
blk to erase 265 3802
blk to erase 2948 265
blk to erase 3784 2948
blk to erase 3731 3784
blk to erase 2733 3731
blk to erase 231 2733
blk to erase 3712 231
blk to erase 2732 3712
blk to erase 3652 2732
blk to erase 213 3652
blk to erase 3613 213
blk to erase 4575 3613
blk to erase 3520 4575
blk to erase 193 3520
blk to erase 2729 193
blk to erase 560 2729
blk to erase 5369 560
blk to erase 3803 5369
blk to erase 44 3803
blk to erase 3438 44
blk to erase 2722 3438
blk to erase 4051 2722
blk to erase 3417 4051
blk to erase 2163 3417
blk to erase 2720 2163
blk to erase 3378 2720
blk to erase 2715 3378
blk to erase 3239 2715
blk to erase 965 3239
blk to erase 4278 965
blk to erase 3142 4278
blk to erase 3030 3142
blk to erase 4639 3030
blk to erase 27 4639
blk to erase 2893 27
blk to erase 2853 2893
blk to erase 4845 2853
blk to erase 4968 4845
blk to erase 458 4968
blk to erase 4125 458
blk to erase 3968 4125
blk to erase 2832 3968
blk to erase 2779 2832
blk to erase 24 2779
blk to erase 3301 24
blk to erase 2633 3301
blk to erase 3090 2633
blk to erase 3872 3090
blk to erase 1799 3872
blk to erase 2303 1799
blk to erase 4698 2303
blk to erase 1932 4698
blk to erase 3433 1932
blk to erase 12 3433
blk to erase 1424 12
blk to erase 2709 1424
blk to erase 1191 2709
blk to erase 2310 1191
blk to erase 781 2310
blk to erase 5159 781
blk to erase 2699 5159
blk to erase 2199 2699
blk to erase 4988 2199
blk to erase 2693 4988
blk to erase 4947 2693
blk to erase 2692 4947
blk to erase 1073 2692
blk to erase 4871 1073
blk to erase 4880 4871
blk to erase 4690 4880
blk to erase 668 4690
blk to erase 4670 668
blk to erase 4282 4670
blk to erase 4651 4282
blk to erase 1980 4651
blk to erase 4442 1980
blk to erase 3517 4442
blk to erase 4381 3517
blk to erase 1899 4381
blk to erase 4261 1899
blk to erase 4771 4261
blk to erase 4153 4771
blk to erase 3255 4153
blk to erase 4112 3255
blk to erase 1608 4112
blk to erase 4061 1608
blk to erase 3099 4061
blk to erase 4039 3099
blk to erase 1426 4039
blk to erase 4692 1426
blk to erase 4030 4692
blk to erase 3883 4030
blk to erase 1732 3883
blk to erase 3841 1732
blk to erase 3691 3841
blk to erase 3437 3691
blk to erase 1878 3437
blk to erase 3624 1878
blk to erase 2690 3624
blk to erase 3531 2690
blk to erase 1673 3531
blk to erase 3269 1673
blk to erase 2689 3269
blk to erase 3210 2689
blk to erase 2687 3210
blk to erase 1407 2687
blk to erase 3022 1407
blk to erase 3558 3022
blk to erase 2942 3558
blk to erase 3288 2942
blk to erase 2682 3288
blk to erase 1369 2682
blk to erase 2911 1369
blk to erase 2822 2911
blk to erase 2680 2822
blk to erase 2644 2680
